first_coodinate_lat_lon last_coodinate_lat_lon lengthInMeters travelTimeInSeconds trafficDelayInSeconds trafficLengthInMeters
-12.09329:-77.04114 -12.0934:-77.04199 93 8 0 0
-12.0934:-77.04199 -12.09183:-77.04221 176 62 0 0
-12.09183:-77.04221 -12.09172:-77.04137 92 15 0 0
-12.09329:-77.04114 -12.09172:-77.04137 178 46 0 0
-12.09172:-77.04137 -12.09329:-77.04114 352 74 0 0
-12.09172:-77.04137 -12.09161:-77.04058 87 10 0 0
-12.09161:-77.04058 -12.09317:-77.04033 175 38 0 0
-12.09317:-77.04033 -12.09161:-77.04058 175 34 0 0
-12.09317:-77.04033 -12.09329:-77.04114 89 7 0 0
-12.09161:-77.04058 -12.09153:-77.03976 93 22 0 0
-12.09153:-77.03976 -12.09306:-77.03952 174 35 0 0
-12.09306:-77.03952 -12.09317:-77.04033 89 8 0 0
-12.09153:-77.03976 -12.09137:-77.03888 625 126 0 0
-12.09137:-77.03888 -12.09294:-77.03866 176 158 88 176
-12.09294:-77.03866 -12.09306:-77.03952 95 26 18 92
-12.08986:-77.03911 -12.08998:-77.04 105 35 0 0
-12.08998:-77.04 -12.0901:-77.04082 631 154 0 0
-12.0901:-77.04082 -12.09022:-77.04162 95 37 0 0
-12.09022:-77.04162 -12.09033:-77.04243 95 37 0 0
-12.09033:-77.04243 -12.09183:-77.04221 168 75 0 0
-12.09183:-77.04221 -12.09034:-77.04243 167 31 0 0
-12.09172:-77.04137 -12.09022:-77.04162 352 93 0 0
-12.09022:-77.04162 -12.09172:-77.04137 170 45 0 0
-12.09161:-77.04058 -12.0901:-77.04082 169 33 0 0
-12.08998:-77.04 -12.09153:-77.03976 174 38 0 0
-12.09137:-77.03888 -12.08986:-77.03911 168 29 0 0
-12.08986:-77.03911 -12.09137:-77.03888 168 105 77 105
-12.09282:-77.03773 -12.09294:-77.03866 103 37 10 103
-12.09124:-77.03796 -12.09282:-77.03773 528 126 50 178
-12.09137:-77.03888 -12.09124:-77.03796 102 14 0 0
-12.0897:-77.03821 -12.09124:-77.03796 180 51 0 0
-12.0897:-77.03821 -12.08986:-77.03911 104 29 0 0
